abad;abad,jaman
anti;nyuwoh,makgeghing,maksuka,maksetuju
antik;tuha,tumbai,helau,mahal,jamuka,jebbei,henggukan,tuho
antipati;mati,nyuwoh,maksetuju,makseneng,lassungnyuwong
antre;pulimban,begeligh,nunggugeleghan,antegei
anugerah;penghagoh,pengeni,pengejuk,nejuk,beghkat
anus;bumbong,jubugh,hahang,ketuk,suyut,tumbung
anut;nutuk,tutuk,sepaham
anyam;anyam,susun
anyir;heni,huwong,weng
apa;api,ghappa,nyo,nyou
apabila;ki,kittu,kittubang,among,lamen,kantunihan
apal;hapal,ngapal,apal
apatis;makpeduli,makngepenyelok,basingno
apes;mesisil,malang,sial,makmeghawan
api;apui
apit;hahelok,hapik,apik,gapik,gapit
apkir;kughah,maktepakai,apkigh
aplus;pulimbang,begantian,gattei
arah;haguk,adek,tujuk,adep
aral;halangan,sakkutan,sawat
arang;haghong,saleng
arena;gelanggang,pok
argument;ngeba,alasan
arit;sabit,landai,aghit,gubit
arloji;jam,agluji,jamtangan
armada;memayak,kapal,peghahulawet
aroma;meghum,ambau,seghibot
arsip;catitan,agship
arti;ghatti,ghetti,makna
arus;menghili,aghus,alighan
arwah;ghuh,agwah
asah;asah,haghing,tebagh,kekeling
asal;asal,mulan,anjak
asam;peghos,asem,isom,isem
asap;hasok,asek,asok
asbak;asbak,pakaiabughukuk,papahkelattung
asik;nemon,hunon,asik
asin;asin,masin
asing;sumang,beghih,bakah,maktinonh
asli;asli,telon,tulen
asmara;kageghing,asmagha,sakehagaan
babat;hughing,ngegawang,netakkusi
babi;babui
babil;bengol,kerashulu
babon;kelabi,ina,induk
babu;beduwa,jongos,,beduwo
baca;baca,baco,bacaou
bacin;henil,henni
bacok;cicak,pippuk,pepuk
badai;angin,anginpuyuh,tupan
badak;badak
badal;nyimbang,ngewakili,badal
badan;badan,jasat,tubuh
badik;badaik
bagan;bagan
bagasi;ghaghumpak,bagasi,keghalan
bagi;bagei,bagi
bagaimana;ghappa,gohpa,ghohipa,apicagha,nyocagha,nyoucaghou
bagus;helau,betik,ngagak,lagak,wawai,sikep,hallau
bahagia;senang,bangikhati,seneng
bahaya;bala,ancaman,bahayo,bahayou,bala,bahalou
bahan;bakal,sagahana,penghabut,bahan
bahas;bahas,bilai,usogh,kancah
bahasa;cawa,kicik,bahaso,bahasou
bahkan;mahalan,mustini,penano,ghena,penanou,
bahtera;peghahu,jukung,kapal,kekughikan,likulughik
bahu;layang,pimping,pupping
baik;helau,betik,wawai,sikep
baja;waja.wajo,wajao
bajak;bajak,beluku,luku
bajau;bajau,peghappuk,bajau
baji;sulak,baji
bajing;tupai,buwet,topai
baju;baju,kawai,kemija
bakal;bahan,lilahan,calun,bakal
bakar;suwah,sundut,puppul,pepul
bakat;bakat,ilis,watak,idi
bakau;bakau
baghil;siyut,pisit,kedekut,budo,cupel,kumet
bakiak;bakiak,teghuppah,gappagh
bakteri;kuman,bakteghi
bakti;ngebalosbudi,balosjasa,bakti,kepatuhan
baku;pokok,dasar
bakul;sumbuk,bakul,ceghuban,nyawan,tengkulak,jawan,kendau
balai;sesat,pusiban,balai,pokbeghunding,poksindang
balang;balang
balap;sehahenna,sawalan,tandingpawot,alau,belembagh,bedak,beghaben
balas;balos,bales
balig;baligh,temeghanjak,balegh
balik;balik,bulet,lindung
balok;pesegian,baluk,balok
balon;sedupan,ketebung,balon,kelembung
balong;bumbun,kulam,ham,tebat
balut;ikok,bubbut,bebut
bambu;peghing,awi,buluh,peghing
ban;ban,ruda
banci;blandingan
bandar;pelabuhan,dermaga
bandel;bengol,kerashulu,bengel
banding;bidako,gegohko,banding
bandit;juagha,beghattih,bandit,lacugh,nagghus
bandot;ghanduk,kaghai,landuk
bandul;babatu,bandul,tembangan
bangau;beghekik,bangau,bangou,putiktejanggalah
bangga;senanghati,unjakatei,banggou
bangkai;bakkai,mayat,bebatang
bangkerut;ghubuh,ghugi,bangkeghut,tekayak
bangkit;minjak,gughah,menjak
bangku;babakku,bakkeu
bangsa;jamma,bangsa,bassou
bangsal;los,teghatak,panggung
bangsat;tumalawot,gihei,pinding
bangsawan;punyimbang,sebatin,paksi,tuhoghajo,jelmabatin
bangun;minjak,temegi,beghuka
banjir;baghak,banjegh,waibalak,ghawang
bantah;bakkil,battah,pusimbatcawa
bantai;battai
bantal;battai
banteng;banteng
banteras;beghantas,pebela,tegah
banting;happas,panttos,uppas,
bantu;tulung,batteu
banyak;nanyah,lamon,ghamik
bapak;apak,uluntuha
baragajul;ngehala-ngehala,nakal,makkeghuan,lacugh,lalus
barak;teghatak,bedeng
barang;baghang
barangkali;teduh,kittu
barat;baghat
baring;tughai
baris;baghis
baru;appai,bagheu
basah;basoh,gibuk,muyus,baseh
basi;bayew,bayu
bata;bata,bato,batou
batal;ughung,maktelaju,makjadi,maktubas,batal
batang;batang
batas;hattak,watos,langan,bates
baterai;bateghe,sentegh,belogh
bathin;hati,kalbu,battin,peghasaan,angon,mayo
batik;batik
batok;undom,sugheu,undem
batu;batu,bateu
batuk;meheyok,mehegol,hanyyek
bau;sakeghup,baut
bawa;usung,batok,bo,bou
bawah;bah,ghenoh,doh
bawang;bawang
bawel;ghiwil,ceriwit,ghomeng
bayam;hayum,bayem
bayang;halinu,lineu,bayang
bayar;bayagh
bayi;upi,upei,sanakupi
bayonet;bayonet,biyunet
bea;biyo,bia,biyou
beban;baban,usungan,neban
bebas;tekas,lepas,bibas,sehagani
beberapa;pigha-pigha,pighou-pighou,papigha,pighoyo
becak;bicak,becak
beda;sumang,bida,makgegoh,bido,bidou
bedak;bedak,pupgh
bedebah;setuwa,laknat,kuranajagh,akeh,ngeghahat
bedil;bedil,senampang
beduk;geduk
begini;ghajjo,gohji,penajo,gehhijo,gheji,penajou
begitu;ghanno,gohna,ghonina,gehhinnei,ghena,penanou
bejana;bejana,cumbung,pan
bejat;cughing,cadang,lacugh,lalus,beja
bekal;sangu,buntot,sangeu
bekas;kas,umbanan,piktinggal
beku;bekeu,beku
bekuk;ghikkus,okok,tinjuk,ghekos
bel;bel,lonceng
bela;tulung,bila
belancan;dilan,teghasi,caluk
belacu;belacu,belaceu
beladau;beladau
belah;pecoh,belah
belai;ghusap,pusau
belajar;belajagh,tetawai,begughu
belaka;begawoh,cumo,makbaghih
belakang;tundun,hemughi,kudan,juyu,bughi
belalai;belalai,gumbo,gembou
belalak;tejolot,tehajjeng,beghaddeng
belalang;balang
belanda;belanda,belandou
belanga;belanga,belangou,jambangan
belanja;ngebeli,babelian,belanjo,belanja,belanjou
belantara;pullan,ghimban,las,penyawang
belas;tamat,sayang,tamat,atei,belas
belasungkawa;tughuksedih,tesoksedih,musisedih
belati;lading,sekin,belati,besi,garpu
belatung;hughol,wegh
belayar;belayagh,belayau
belenggu;tebelingkung,tekungkung,pasung,bendu
beli;beli,belie
belia;ngugha,meghanai,mudou
beliau;tianghumpok,tianghuppek,beliau
belibis;itikpulan,belibis,beghibis
belida;belinda,belindo,belindou
belikat;selakka,belikat,selakkou
belimbing;belimbing
beling;beling,pecohan
belit;lilik,belik
beliung;beliung,kapak
belok;baluk,nyimpang,mutogh,pinggegh
beludru;beleghu,bulughu
belukar;pulanngugha,guyun,endun
belulang;kukah,balung
belum;makkung,lak-kungmlakwat
benah;beghikkos,susun,benah
benak;pikighan,utek,ati
benalu;kayutuppang,hemalu
benam;beghok,pandom,ghandam,ghendem,bebbes
benang;benang,sapuk
benar;benor,temon,tuwon
benatu;benatu,gosokan,setrikaan
bencana;bala,bahaya,behallo,bahlou
benci;nyuwoh,beci,beji
benda;baghang,bendo,bandou
bendahara;bendaghagha
bendera;bendegha
bengal;bengol,keghashulu,bandel
bangek;hiyokuba,mengek,hayyekghugit,nget
