abad;abad,jaman
dokar;sado,sadeu,dukagh
dokter;duktegh,doktogh
domisili;lekok,tinggal,pekteppik,jenganan
dompet;selepa,duppit,depit
dorong;jujun,hindil,sughung
dosa;dusa,duso,dusou
dua;ghgua,wo,wou
dubur;jubugh,ketuk,suyut
duda;balu,baleu
duduk;mejong,busila,mejjeng
duel;laga,lago,lagou
duga;teduh,kighou
duit;duit,dau
duka;susah,sedih,ghukuw,resak,ghobokati
duku;duku,ghukey,lassak
dukun;dedukun,dukun
dulu;tumbai,ho,hou
dungu;gunjugh,lugugh
dunia;dunia,denio
duren;deghian,deghiyan
durhaka;dughaka,deghakou,peghajakou
duri;ghui,wei,ghuwi
dusta;buhung,bebudie
dusun;tiyuh,anek,pekon
edar;idogh,sebagh,idegh
afek;tujuan,akibat,lajuan
ejah;ejah
ejek;ngejaji,unyak,jei,kambou
ekor;gundang
elak;gilik,lepas,takkis,tepis,ilak
elang;kenui,kenoy
elok;sikop,wawai,hallau
elus;pussau
emas;emas,mas
embacang;limus,asam,kembang,isem,lekkou
embah;appeu,nyaik,bei
ember;embegh
embun;imbun,embun
embus;sebbu,haggo
empang;bumbung,kulem
empas;hampas,batting,uppas,pattes
empat;pak
empedu;kemahik,hampedu
empuk;lemoh,ngeyoh,luppui
enak;bangik,sedop,sihat
enam;enam,ennem,nem
enau;hanau
encer;ghilau,encegh
endap;teghenoh,teghegoh,endep,isu
engggan;mesughok,sukkan,makkewawou
engkau;niku,pusekam,nikeu,metti
engsel;inggi,engswl,sel
entah;induh,iduh
enteng;hampang,appang
enyah;lijung,tandak,lapah,tegagh
eram;mehughom,megham,ngeghem
erat;gindok,ghedok,yiyok,pekket
esok;jemoh
faedah;guna,hasil,guno,paidah
faham;paham,ngeghti,pahhem
fajar;pajagh
falak;palak
family;puaghi,minakmuaghi,sekelik,sanakfameli
faseh;paseh,pas
fihak;pihak
fi'il;piil,peseggighi
firasat;ghasa,semokhati,peghasat
firman;pighman
fitnah;pitnah
gabah;gabah,paghie,ghannai,paghi
gabuk;hapa,apou,gabeng
gabung;campugh,kuppul,gabung,saiko
gada;gundung,gado,gendul,gudam
gadai;gadai
gading;gading
gadis;mulli,mulei,sanakbai
gaduh;ghuhccak,ghibut,tegogh,ghayyuh,letok
gagah;kuat,gagah
gagak;kakkah,sngghak,gagak
gagal;ughung,makbehasil,maktegah,gagal
gagang;gagang,penyaccanan,lengoman,gelanan
gagap;gagap,ikuk,ngedengap,dengap
gagu;uba,obou
gaib;gaib
gairah;napsu,tadaiagou,peghetok
gait;koyok,taghek
gajah;liman,gajah
gaji;upah,gaji
galah;penuyu,penduyu,kighau
galak;pengamuk,beghangnges,pemagha
galang;lang,galang
gali;kalei,kali
gambar;gambagh
gambir;gampigh,gambegh
gampang;mudah,gappang,tunai
gampar;mudah,gappang,tunai
gampar;tipagh,tampagh,tabuk
ganas;buas,ganas
gancang;geluk,ghikas,ghaccang,hallou
gandeng;geghitak,gandeng
ganggu;ganggeu,gallou
ganjal;ganjal
ganjar;upah,pembalos,ganjagh
ganjel;ganjel
ganjil;ganjil,nyalei
gantang;gantang
ganti;ganti,gattei,gatti
gantung;gattung
gapura;lawangkughi,tugu,gapugho
garam;uyah,oyah,sia
gardu;gagdhu
garis;gaghis
garpu;gagphu
garuda;geghuda,geghodou
garut;kukkui,kekui
gasing;ukkah,gasing
gatal;gatol,gatel
gayung;timbuk,gayung,tembou
gedor;tegogh,gendugh
gedung;nuwo,gedong
geger;tegogh
gejala;tanda,taado,tandou
geladak;geladak
gelagat;gelagat,upono
gelak;lalang,ngelahai,mahho,mohou
gelang;gelang,kalai
gelanggang;lapangan,gelanggan
gelap;kelom,manem,manom
gelar;jampagh,adok,adeg
gelas;tembela,gelas
geledah;sakagh,geledah,akagh
geledek;guttugh,gulugh
gelegak;ghunggak,getek,gettok
gelembung;nyedup,ngetebung,gelembung
geleng;digog,digeg,degok
geli;geli,gelei
geliat;meliyot,meghanyat
gelincir;tehanjal,tekusagh,geliccigh,pelisit
gelisah;maktenong,gelisah
gelombong;humbak,gelumbang
gema;bunyi,bagho,semau,gahasa
gemar;geghing,demon,iling,buguh,sokou
gemas;nyuwah,geghegeten
gembala;ngulamko,isik,ngelucuk
gembira;riang,senanghati,sukoati
gembok;kuccikelabai,gembok
gembung;bukkang,ngembung
gembur;gemuk,luppugh,lembuk
gemetar;gugohan,gemetegh
gempa;kukuk,lindu,linui
gempar;tegoghg,gigegh,tegeu
gempur;ngehancoghkon,mecahkan,hattem,tepu
gemuk;gemuk,gemeghot,gendut
genang;kandok,keghelok,ghawang,genang
genap;cukup,genep,jakkep
gendang;gindang,gendang
gendong;babai,dappan
gendut;balakbetong,gemuk,gendut
genggam;bekom,bekkem
gengsi;piil,pesengighi,gegsi
genit;gatol,tundau,genyeh
gentar;ghababi,gettegh,sunnaggh
gepeng;lipit,pepih,gepeng
gerah;mahhup,pusang,panas
geraham;semalahom,tigah,bellan
gerak;gemighok,kelik,kemelik,gilak,pinah,ginjung
geram;balakhati,ngeghitep,gendes
gergaji;semar,geghaji
gerhana;tekabah,geghhana,kenawat
gerobak;geghubak
gersang;panas,gegshang
gertak;ghaghabai,geghatak,heggop,aggep
gerutu;ngibel-ibel
geser;kisit,pindah,gisigh
gesit;lincah,gesit,takkas
getah;gitoh,giteh
getas;ghapuh,ghapuh
giat;senemon,ghajin,nadai
gigi;ipon,kedis
gigih;setemon,nakkel,nadaitemmen
gigit;keghoh,gigik,kegheh
gila;lawang,lulwangan,idan
giling;giling,lindos
gilir;gilegh,gattian
giring;gighing,buyu
goda;guda,gudo,gughau
golek;golek
golok;sasak,candung,golok
goncang;kuccang,gecang
gondok;behuk
goreng;gughing,sallai,kaghih
gosok;gedap,asah,gusuk,gosok
gossip;ngayung,beghito,negguken
gotong;pikul,tunggang,ghijing
goyah;ginjung,beghubah,gisay
goyang;ginjung,kicuh,guyah,iguk
gua;guho,guha,gohou
gubuk;sapppu,kubu,kebbeu,anjung,gubuk
guci;ghumbih,geccung,guci,gentong
gudang;gudang
gugup;hahengok,gugup
gugur;tiyak,gegak,gugugh
gula;gula,gulou
gulai;gulai
gulat;gulet
guling;guling,gelinding
gulung;gulung
gumpal;kuppol,nguppal,Keppel
guna;akkuh,guna,guwai,guno
guncang;kuccang,kicuk,guccak,gittoghg,kapok
gundik;gundik
gundul;gundul,sulah,butak,silih
gunjing;ngupok,ngahejing,upek
gunting;gutting
gunung;ggunung,tangkit
gurau;gughau,mamai,kelakagh,ghuyah
guru;gughu,gugheu
guruh;guttugh,gughuh,gulugh,gulu
gusar;kuatigh,ganung,gisai,
gusi;gigi,gusi,pesian
Habis;bela,gelik,lekkin,lanes
Hadang;sapak,tebak,adang
Hadap;hadap,tungai,adep
Hadiah;pengeni,hadiah,pengejuk,nejuk
hadir;ghatong,ngedok,megeu,wat,hadir
hafal;hapal,ingok,apal
hal;keadaan,hal
hai;hai,ui
haid;kutoghan,nemui,mego,aban,ghattongbulan
hajat;teghok,peghetok,niat,haga,ago,hajat
haji;haji,ajei,cakak,mekah
hak;kedau,hak
hakekat;hakikat,hakekat
hakim;hakim
hal;hal
halal;kasi,halal,sah
halaman;tengebah,tengah,taneh,pemadaghgan
halang;dangdijuk,sawat,halang,tebat,appeng
halau;buyyu,alau,usigh,halau
halilintar;guntogh,guleu,nyaghu,manah
haluan;haguk,adok,,adepan
halus;lassagh,halus,alus
hama;kuman,hamo
hamba;bedua,kayinan,budak
hambar;nyeyah,tawagh,ngeganyap
hambat;halang,adang,ambat
hambur;tabogh,keghap,umban
hamil;biakkulik,ngandung,meteng
hampa;hapa,bakkang,apou
hampar;bejagh,keccat,bejjat
hampir;cikan,naghas,pandok
hancur;hancogh,lutak,accugh
handai;keghabat,kenalan,sakelik
handuk;anduk,basohan,telesan
hangat;handop,andep
hangus;tutung,habu,mutung
hantam;gasak,gasik,hantem
hantar;hatagh,attak
hantu;hantu,belis,attu
hanya;ikan,Cuma,anou
hanyut;tehanyut,tanyok
hapus;hapus,lebon,sappun
haram;hagham
harap;haghap,peghetok
hardik;hegop,hajjak,aggep,suyou
harga;ghega,igo,ajin
hari;ghani,dawah,kebian,panas,aghei
harimau;kumbok,lemawong,waw
harmonica;ghegin,ghamonnika,genggong
harta;hagta,banda,dau,hagtou
harum;meghum,wangei
harus;musti,wajib,harus
hasil;ulih,hasil,masso,padah
hasrat;peghetok,ago
hasta;hasta,sikeu,tou
hasud;hasung,bujing,asut,hasut
hati;hati,atei
haus;mahu,hawos,awes
hawa;hawa,awou,hawo
hebat;hibat,jitu
heboh;lulttam,tegegh,gegeh
hela;taghik,panjut
helai;ghambal,lammbagh,lambau
hemat;tedos,himat,tettim
hembus;embus,sebu
hendak;hago,ago
hening;hanning,hiyon,iyenn,cecces
henti;taghu,ghadu,ghadeu,beghadu
heran;heghan,makneduh,ewoh
hewan;binatang,setua
hias;dandan,hias
hibur;geginak,babang,hibugh
hidang;nikkuk,hiding,nyani,sajei,idang
hidung;ighung
hidup;hughig,ughik
hijab;lindung,hijab,ijab,kelegh
hijau;hujau,ujau
hikayat;waghahan,ghuham,ceghito
hikmat;hhikmat
hilang;lebon,tiwas,naghat,melap
hilir;doh,liba,libo,libou
himbau;unggugh,ughau,cuwak
himpit;gecit,duddogh,jepet,gepit
himpun;ngesi,sapon,kuppul,himpun,kekkuk
hina;tapos,kenayan,cela,unyah,cellou
hindar;gilik,malih,tandak,ngejawoh,lijung,bighik
hingga;sampai,antak,tigeh,bates,sehinggou
hirau;jemanoh,pethatei,iwen
hitam;halom,haghong,agheng
hitung;ghikin,itung
hormat;tabik,hogmat
hubung;sambung,kait
hujan;labung,teghai,ujan,ghagecik,geghimis
hujung;uncuk,ujung
hokum;hokum,ukum
hulu;unggak,hhuliu,ulu,datas,udik
huma;sabah,huma,umo,omou
huni;fiyomi,tunggu,issei
hujam;pacok,taccap,pettek,bebbes
hanus;cabuk,ambuk,ajok,cenabuk
hura-hura;gagagha,hughagou
huruf;hughuf,aksagha
husus;hana-hana,husus
hutan;pullan,ghimba,laspelan
hutang;hutang,utang,injaman
ia;payyu,ia,yo,yu,you
iba;tamat,sedih,kesian,ibo
ibadat;ibadat
ibarat;ibaghat,missal,umpama,sekigho,andaino
iblis;habelis,iblis,belis
ibu;mak,umi,ma,indui,endai,ibu
idam;teghok,myitta,nyetto,ngeghaghap
idap;ngidap,ngaboupenyakit
ihtiar;kelik,ihtiar,usaha
ihwal;ihwal,hal
ijuk;sabuk,baghuk
ikan;kok,baghut,ikek
ighas;ighas,ghila,suka,sukou
ightiar;usaha,kellik,ghijou
iklim;iklim,cuaca
ikrar;janji
ikut;nutuk,tutuk
ilalang;liyoh,liyeh,tegal
iler;kelawis,ngelipagh
ilham;ilham
ilir;doh,libou
ilmu;kepandaian,senubalan,ilmku,ilmeu
imam;tutukan,imam,tutugen
iman;kepegcayaan,iman,eman,keyakinan
imanat;imanat,umanat,amanat
Imbal;balos,masso,bengot,mighing
Imbalan;pengeni,upah,nejuk,imbang,tembang
imbas;kehimbaas,angin,tenyebou
imbuh;nambuh,bubuh,nambah
umpotek;lay,malap,komeng
inang;tukangbabang,indui,beduwo,pangan
inap;inok,minok
incar;timah,nipeu
indah;helau,betik,sikep'hallau,wawai,ngagak
induk;kelabai,mak,biang,induk,ina
ingat;ingok,iling
ingin;nadaiteghok,meghetok,ago,haga,agou,ngeneh,
ingkar;mukkigh,makngaku,nyangka,nulak,ingkagh
ingus;ingu,ingeu
ini;hijjo,sinji,sa,hinji,ejo,hijou,hiji,ijjou
injak;kijal,ilik,yok,yek
insaf;nyebut,tubat,insaf,hesap,ingok
intai;itton,intan,ten,ton
intip;sambaing,subuk,ittai,inttip
ipar;sigha,ugang,tuala,lakau
irama;lagu
iri;sasegha,ighi,ghil,dekki
iring;hepak,tutuk,ighing
iris;highis,hegghap,sisik,sesek,aghap
irit;cacutikan,lalunikan,hemat
isak;babisok,hiwang
isap;hisop,isep,ngisep
iseng;gaguwai,cacuba,mamain,iseng
isi;isi,muat,sei
istana;istana
istarahat;taghu,menong,ngehaman,beghadu
istri;ighoman,kehajjong,bebaini,kebyan,majeu,issinuwo,bei,kelabainighayyoh,inanisanak
isyarat;tanda,tando,alamat,saghat,kedu,abada
itik;itik,kitik,seghetei
itu;hinno,sina,sudi,eno,hinei,hina,inou,enou
izin;peghmisi,kenian,izin
jadi;jadi,tubas,jadei
jaga;jaga,tunggu,miyah,,jago,jagou
jagat;dunia,jagat,deniyou
jago;jajguk
jagung;jagung
jagur;balakbadan
jahanam;jahanam
jahat;jahal,bughak,jahat,duguk
jahe;jahik
jahil;cukik,jahil
jahit;seghuk,jahit
jaja;jaja,jajou,kepandai
jajah;jajah
jajal;seadong,cubo,cobou
jajan;belanja,belanjou,nekan
jajar;tagh,baghis,deghet
jaka;jekat
jaksa;jasso,jaksa,jassou
jala;jala,jalo,jalou
jalan;ghanglaya,lapah,ghanglayo
jalang;jalang,lucuk,lepas
jalar;ghekap,ghayap,ghaghubat
jalin;anyam,ghakkai
jalur;luyut,jalugh
jam;jam,aghluji
jamah;sadak,culik,tuwil,gandak
jamak;jamak
jaman;kala,jaman,kalou
jamban;kakus,pokmissing
jambu;jambu,jambeu
jambul;siding,mucco,jambul
jamin;tangggung,jamin
jampi;jampi,jappei,jappi
jamu;jamu,jameu
jamur;kulak
janda;balu,bebaibalu,ghando,jandou
jangan;dang,ikin,dakken
janggal;ganggu,janggal,makpantas,makhelau
janggut;jangguk,janggut
jangka;masa,jangka,jakkou
jangkar;jakkagh
jangkau;jekau
jangkrik;cacighik
jangkung;ghanggal,langgagh,junggui,ghaccakngogang,cogang,tugang
janji;janji,janjei
jantan;ghagah,bakas,kaghaipejalu
jantung;jattung
jarak;hantagha,antagho
jarang;jajghang,punjawang,nighing
jari;jaghi,gheghangou,jaghei
jarring;jaghing,legian
jarum;seghok,jaghum
jas;jas,kawaijas
jasa;jasa,jaso,ulah
jasad;jasad,badan
jatah;bagian,jatah
jati;jati
jatuh;gugugh,tiyak,gegak,gugogh
jauh;jawoh,jaweh
jawab;jawab,timbale,tembal
jaya;jaya,jayou
jebol;tubmbus,tukak,tebuk
jejak;tapak,luyut,kas,jejak
jejaka;meghanai,menganai
jejal;suppol,jejol,sesak
jejer;jejegh,jajagh,naghis
jelang;lupuk,lepas,bileng,ngandep
jelas;teghang,jelas,nyato
jelek;jahal,makbetik,ganggeu,makwawai,tangging
jelma;myaghu,muleu,tembul,ceccul
jemaah;jemaah
jembatan;jeghambah,jambat,titi
jempol;keddipu,kelepeu
jemput;susung,susul,unut,bileng,nyusul
jemu;lejju,geloh,busen
jemur;pawai,kekgheng,pegh
jenaka;ceghagil,lucu,ngeguaikelalang
jenazah;mayat,jenazah,hattu
jendela;sekapan,jendela
jenderal;jeneghal
jengger;jaghghak,paling
jenggot;jangguk,janggut
jengkel;mulot,nyuwoh,beccei,kesel
jengkol;jeghing
jenguk;liyak,tinuk,subuk
janis;macem
jenjang;jenjang
jentik;getak,petik
jenuh;lejju,beteng
jepit;duddogh,jepit,sepik,capik
jera;jegha,jegho,jeghou
jerami;jami,jamei
jerat;pipnja,siding,penjou,jeghat
jerawat;jayok,jawak,jeghawat
jerih;payah,susah,ulah,susahpayah
jerit;pekik,packing,mekeghik
jernih;ghilau,ighang,bening
jeruji;jeghuji
jeruk;limau
jerumus;cabbus,jeghumus,beghek
jewer;jewegh
jibrail;jebrail
jidat;tagak,pudak,kedak
jijik;neghaggi,nyuwoh,ghennyeh,genyoh
jika;sekigha,andai,lamun,amon
jilat;belak,pellet
jilid;jilid
jimak;pujama,campugh
jimat;jimat,tumbal,gagaman,jemat
jin;jin,setan
jinak;tutut,ghinok,ghinek
jingkrak;ghakkak,lepat
jinjing;kuttai,cincing,ceweng
jiplak;tabai,tighu
jiran;tetangga,paghoknuwou
jitu;tepat,jitue,paten
jiwa;ghuh,jiwo,,jiwa
jodoh;judu,judeu
joget;naghi,jugint,taghei
jolok;jugagh,ajuk
jompo;tuha,kuyutan
jongkok;sungguk,bungkuk,jengek,cemenguk,cengguk
jongos;babu,penakawan,beduwo,lembang,gendik
jorok;kamah,gajul,kettut,teluwah,ghakus
jotos;segung,gocoh,gucuh
jua;ikah,cuman,munih,begawoh
juadah;juwadah
jual;jual
juang;juang,usaha,johang
juara;juagha,pendekagh,juwaghou
jubah;jubah,jobah
.jubel;pelik-petol,latap,semek,pepek,bejejel
judes;panasbaghan,judes,jehel,beghangges
judi;main,judi,gughau
juga;munih,moneh
jujur;ghalis,jujugh,ghulus,lughus,tebbeng
juling;juling,biliau,mighing
juluk;adok,juluk,gelagh
julur;sului,ghules,cekkai,cellet
jumantara;langek,langit
jumbai;ghumbai,jumbai
jumlaha;ghikinan,jamelah
jumpa;tungga,pehalu,tumbuk,temu
jungkir;jungkit,jemungkit,bullet,tebalik
junjung;cuncun,akkat,cecun,,jejjung
juntai;juntai,jemuntai,juttai,cettai
junub;junub,kutogh,hadas
juragan;jeragan
jurai;jorai,buwai
jurang;ghulah,jughang
juru;tukang,jaghu,jughu
jurus;jughus,lakkah,aghgak,tipei
juta;juta
ka'bah;ka'ba
kabar;kabagh,beghitou
kabul;kabul,teghima
kabung;seadih,susah,putok
kabur;ghudap
kabut;hasok,awan,sabek,kabut
kaca;kaca,kaco,kacou
kacang;kacang
kacau;layau,kacau,kusuk
kaci;kacei,kainandak
kacip;kacip,getting
kada;kakala,ghesok,kekalou
kadar;ukugham,hattak,kudghat,wates,kadagh
kadas;keghidas,kughap
kadi;hakim
kafan;keppan,kafan
kaget;tekanjat,kejut,pessou
kagok;ghidu,kaku,kagok
kagum;hegham,tecengong,keseneh,kagum
kail;kawil,tajugh
kain;kain,dasagh
kais;ngekagh,kekkai
kait;kawik,kayok
kaji;kaji
kakak;pun,atinudo,abang,kiyai,daing,baatin,kakak
kakek;tamong,datuk,bakas,appeu
kaki;cukuk,kukut,caluk
kaku;gunggong,kakeu
kakus;kakus
kala;waktu,kala
kalah;alah,kalah
kalajengking;kala,kalo,kalijengking
kalap;lupadighi,kalap
kalau;kittu,kattu,kia,lamun,amon
kalbu;kelabu,kalbu,kelebeu
kaleng;kaling
kali;heliyang,wai,sungai
kalimat;kelimah
kalung;ghattai,ghantai
kalut;kacau,kalut
kamar;bilik,kamagh
kambing;kambing
kambuh;tingok,kulohan,bangat
kami;sikam,sikamghuppok,bangat
kamis;kemis
kampak;bacci,kapak,beliyung
kampil;kampil,kappel
kampung;pekon,tiuh,anek,kappung
kamu;niku,nikeu,puskam,mettey
kanak-kanak;sanaklunik
kanan;kanan
kancah;bilai,bahas
kancil;napuh,kaccil
kancing;mujah,kaccing
kancut;katcut,cawet
kandang;sakkagh,ubung,kandang,kughuk
kandas;kasat,kandas
kandis;kandis
kandung;kandung
kangen;tigham,sasagh,nggigham,ghidu
kangkung;kangkung
kanjeng;kanjeng,kiyai
kanji;tajin
kantong;uccang,paket,kattong
kantor;kattugh
kantuk;kedugok,kedugek,kedogok
kapal;kapal
kapan;kesaka,akupun,kapan
kapar;ngiyambang,ghapak,keghudang
kapas;kapas
kapir;kapigh,kapegh
kapok;jegha,jeghou
kapuk;kapuk
kapur;kapugh
karam;kaghom,tebeghok
karang;kaghang
karat;kaghat
kardus;kutak,kaghadus
karena;sebab,mana,ulah,sakka
karet;kaghet
karib;ghedik,ghndos.paghek,pekket
karma;kaghma
kartuh;keghattu,kertu
karung;guni,kaghung
karunia;kughnia,kasihtohan
karya;hasil,kegja,ghasan,gawei,keghjo
karyawan;kaghyawan,peghawai,tukangguwai
kasha;apaiwei,kasha
kasak-kusuk;kasak-kusuk,beiyep-siyep
kasar;mesehal,kasagh
kasau;kasau
kasih;keni,juk
kasta;kasta
kasur;kasughg
kata;kicik,cawa,cawo,katou
katak;kemincak,kuduk
katam;tammat
katiak;kelupah,pah
katup;tukuup,kebok,tutup,katup
kaum;ahli,kaum
kaus;kaus
kawal;ighing,jaga,tunggu,jago,kawal,jagou
kawan;ghik,kanca,jama,pegheda,jamo,jamou
kawat;kawak
kawin;kahwin,kawin,nikah,bulamban,ghittok
kawung;hanau
kaya;mubatin,mepawagh,kaya,kayo,ghayo
kayu;kayu,kayeu
kayuh;kayuh,dayung
kebajuikan;kebtik-an,kewawaian,kehelauan
kebal;kebol,kebbel
kebay;kebaya,kawaibebai
kebiri;kebigji,kebighei
kebun;daghak,kebun
kebut;geluk,gaccang
kecantaol;tekawik,tekait
kecewa;keciwa,lunikhati
kecil;lunik,lutik,ghenik
kecoh;tipu,kicuh,budi,buhung
kecuali;selain,kecuali
kecubung;kecubung
kecup;kecup,sekkei,sium,ceccep,kecuk
kecut;ghabaihati
kedai;waghung,tatanjak
keder;ghabai,bingung
kedip;kicop,ghicop,kicep,kelip
kedok;tuping,kedok
kehendak;kehaga,peghentog.tenadai,tadaiagou
kejam;buas,kejam,bengis
kejang;segunggongan,kaku
kejar;pupuh,alau,beddak,upung,bughu
keji;jahal,kamah,hina,celou
kejut;tekanjat,neghanjuk,kagit,kejut
kekal;lana,kekkel,lanou
kekasih;pngan,kegeghing,tuning,kehgoan,tebadai
kelabu;kelabu
keladi;talos,kemumu,kebahang
kelahi;ghigu,laga,ghusungn,capung,piseu,lagou
kelak;kanah,ka'tah,nanti,na'an,jemoh,sawai
kelakar;kelakagh,ghgaghemyoh,balakumumg,gughau,ghunyah
kelam;kelom,manom,manem
kelambu;kelambu
kelamin;ghupani,kelamin
kelana;midogh,neghatao
kelapa;kelapa,nyiwi,kelapou
keledai;keledai
kelelap;kehallop,tegelem
kelelawar;tigal,bayat
kelenger;tiyalai
kelewang;pedang
keliling;keliling,ngelingkogh,kitegh
kelingkIng;kecil
kelola;teguai,ughus,kelola
kelompok;kelompok,miyanakwaghey,geppeng
kelontong;kelontong
keluar;luwagh
keluarga;sangamiyanak,sangamahan,sukeu,miyanak,keluaghga
keluh;keluh
kemah;kemah
kemala;batuasih
kemanakah;nakan,naken
kemang;kemang
kemangi;kemangei
kemanten;kebayan,maju,mengiyan
kemarau;kemaghau
kemaren;nambi,beghebei,bijo
kemari;ijak,adekjou
kemas;kukkos,ghikkes,kekkes,sapen
kembali;muloh,mulang
kembang;bunga,kumbang
kembar;lindu,ghgumpi
kembung;bukkang,kembung,nyeedid
kemeja;kawai,kemeja
kemelut;kemelut
kemeyan;munyan,miyan,menyan
kemiri;kemiling
kemis;kemis
kempa;keppa
kempelang;keplang,keghupuk,upak
kempes;kappis,kipit,keppes
kempit;kepit,kepet
kempot;pinyuk,kiyut
kemudi;stang,kemudei
kemudian;lajuni,ghadusina,segaduwnou
kena;kena,tehantuk,kenou
kenal;inong,kenal,timal,pandai
kenan;neghima,dapek,ghila,kenan
kenang;ingok
kenanga;kenanga,kenagou
kenapa;menapi,ulahapi,ulahnyo,apingeba
kencan;setemuan,nganjang
kencana;mas
kencang;kiccong,ghedok
kencing;miyoh,yoh
kencur;cekkugh,,cekeu
kendala;halangan
kendati;kippak,walau,najin,
kendi;ghumbiih,kibuk
kendor;megedugh,kendugh
kenduri;nayuh,bedu-a,bebacou,ngamin
kening;kening
kental;katok,kantol,kettel
kentang;hhubimendighakettang
kentara;panjak,nyata,nyatou
kenntut;metuk,hettuk,tuk
kenyang;bettong,lejju
kepada;mid,adok
kepala;hulu,uleu,ulu
kepalang;makubah,kanjuk,kepalang
kepepet;kepipit,tejepet
kepergok;kepeghaguk,kedapokan
kepinding;temalawot,gihei
kepiting;gaghak
kepleset;tekusagh,tepelisit,tegelisit
kepompong;kepompong,kalimattuk
keponakan;nakan,naken
kepung;kughung,keliling,
kera;kegha,keghou
kerabat;minakmuwaghi,sekelik
kerak;langkuk,lakkuk,keghungan
keramat;keghamat
keranda;keghanda,leccau
kerang;kembelok,kima,kiung,getis
kerangka;ghakka,ghakkou
keranjang;bayuk,sumbuk,sap,keghanjang
kerap;ghisok,ghisek
keras;tihha,tiyas,pegheng
kerat;highis,kaghet,tetek,sesek
kebau;kerbau,kibau
kerdil;budol,lunik,ghikik,kucel
kereta;kegghita,keghito,keghitou
kerikil;kegghikil,kedekil
kering;nyaggu,mallluh,ngelung,keghing
keringat;hitting,iting
keripik;keghipik
keriput;layu,kiyut
keris;keghis,badik
keriting;galling,ikal,keghiting,mughet
kerja;guwai,keghja,keghjou
kerling;nyiligh,nyelau
kerok;ghuccang,kighok
kerongkong;lukkung,lekung
keroyok;gippul,,upung
kertas;keghattas
kerucut;ngucup
kerudung;kumbut,selindang,kanduk,tuguk,keghudung
keruh;bulok,butek,bolok
keruk;kali
kerumun;gippul
kerupuk;keghupuk,kepeleng,upak
kesal;kesol,kesel
kesambet;keseghupan,kekughuk-an
kesandung;tehattuk,tesakkut
kesasar;tedaya,tebembang
keseleo;silat,tekucil,tekeghilet
kesohor;tekenal,kesuhugh
kesusu;begeluk-geluk
ketan;siwok,ketan,gappo
ketat;pelik,seghot,semek
ketawa;lalang,muha,mohou
ketela;setila,setelou
ketemu;puhalu,tungga,tembuk
ketiak;bahkelupah,bahhanpah,pah
ketik;ketik
ketika;waktu,kala,watteu
ketik;ketik
ketika;waktu,kala,watteu
ketimun;lepang
ketipung;ketipung
ketupat;ketupat,lepot,kopat,kupat
kewalahan;kwalahan
khasiat;hasiyat
khawatir;kuwategh,galng,atei,kuatigh
khilaf;lupa,lupo,lupou,ghilapa
khitan;besunat,manditepui
khusus;ghusus,special,tisou
kiamat;kiamat
kias;missal,banding,kias,andai
kiat;cagha,pengulah
kiblat;kebelat
kibul;budi,buhung,tipu
kidal;icuk
kijang;kijang,wikis
kijing;getis,kijing
kikir;sejagh,suit,lukek,cupel,kumet
kikis;ngepebela,kekkis
kikuk;canggung,makkahlai,sukkaan,kakeu
kilah;hilah,alasan
kilat;kilap,kilat
kilir;sialt,geleu
kilo;kilo,kelou
kincir;kincir
kini;ganta,tano,tanou
kipas;kipas,kepas
kira;teduh,kigho,sakko,attan
kiri;kighi,kighei
kirim;kighim,lehot
kisah;kesah,ceghettou
kita;gham,ghamghuppok
kitab;kitab,ketab
kobar;lalung,ambugh
kobok;cumbung,kubuk
kocak;ceghagil,lucu
kocek;uccang,kattong,pakit
kocok;kakuccang,kocok
kodok;kemincak,kuduk
kodrat;kedeeghat
kokok;keghakut,kikuk
kolam;bumbung,ham,kulem
kolangkaling;kibol,kulang-kaling
kolong;dibah
kolot;tuha,tohou
komidi;kemidei
komisi;cuk,hadiah,komisei
kompa;kuppa,kepau
kompas;kompas
kompor;kompogh
kompromi;ngicik,hippun,mupakat
konde;cucukpulos,konde,belattung
kongsi;kungsi,kesei
konon;kittubang,teduh
kontan;smabuttangan,kuttan
konyol;makbehaghung
koper;petti,kopogh
kopi;kahwa,kupi,kupei
kopiah;ketupung,kepiyah
koral;keghikkil,kedekil
koran;koghan
korban;keghban
korek;cukkil,cekil
koreng;keghidas,kedas
koret;kughit
korma;kurma,kemou
korsi;keghussi,keghussi,kegsei
kosong;bangkang,bakkang
kota;kutak,kotak
kotor;kamak,kamah
koyak;saghak,caghik
kritik;bada
kritis;getting,ghessep
krupuk;keghupuk,keplang,upak
kuacai;kuwacei
kuah;bibei,kuwah
kuala;hemagha,kuwalou
kualat;nuppuhdusa,kewalat
kuali;kaccah,belngo
kuas;kuas
kuasa;kuasow
kuat;kuwawa,tahan,kuwat
kuatir;kawategh,galangatei,waswas
kubah;kebah,kubah
kubang;kobang,kuabang
kubur;kubugh
kucar-kacir;tabuicitagh
kucil;sassing,kucil
kucing;kucing
kuda;kuda,kodou
keadis;kegdis,kedas,kidas
kudung;kumbut,selidang,kundung,kandung
kue;buak,juwandak
kuini;limus,kuwanei
kuku;tangai,kukei
kukuh;kukus
kukus;kukus
kulai;kelemohan,lemoh
kuliah;kuliah
kulit;bawak,babak
